,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
J1,7,14,11,6,4,9,17,14,12,13
J2,1,17,14,6,14,16,1,19,17,11
J3,11,9,12,12,3,14,6,4,17,2
J4,11,4,12,3,9,3,14,6,13,12
J5,18,2,17,5,5,13,1,13,14,15
J6,6,7,5,9,6,19,1,2,12,12
J7,19,15,15,2,11,10,13,12,16,4
J8,18,17,10,17,10,5,2,1,18,13
J9,3,18,4,13,6,19,16,14,10,8
J10,7,2,4,19,7,18,4,10,8,9
J11,1,13,15,18,10,19,9,16,9,13
J12,9,16,6,14,19,12,7,6,2,7
J13,1,10,9,4,3,12,7,8,8,18
J14,11,3,1,2,5,2,4,17,14,7
J15,14,10,16,18,13,10,11,2,5,10
J16,15,13,19,15,8,4,7,11,9,2
J17,18,18,11,16,6,3,16,14,12,1
J18,13,2,19,19,2,5,1,6,19,18
J19,12,17,10,12,15,12,5,6,13,19
J20,9,9,5,4,10,13,11,19,11,6
J21,2,1,14,7,1,1,1,11,13,8
J22,14,1,7,1,5,10,6,15,3,7
J23,19,8,19,13,10,2,4,5,10,9
J24,17,10,11,11,9,13,8,8,1,9
J25,17,10,17,7,4,15,16,17,18,3
J26,11,3,9,15,13,1,7,5,18,12
J27,11,5,17,9,8,8,18,19,12,1
J28,6,5,6,16,12,10,14,14,6,8
J29,5,5,3,19,15,10,7,6,12,2
J30,1,14,18,10,14,17,17,13,12,10
J31,4,1,17,12,11,4,5,15,15,13
J32,1,18,10,2,9,13,18,19,12,6
J33,19,4,7,16,10,2,19,6,16,3
J34,10,5,16,13,6,9,16,18,4,14
J35,4,19,15,4,19,17,1,4,9,16
J36,9,19,8,19,18,14,15,3,15,11
J37,10,11,4,5,18,15,1,4,10,10
J38,11,5,9,14,3,4,2,16,8,19
J39,12,1,15,16,7,6,12,11,1,15
J40,8,16,1,3,17,2,8,18,4,10
J41,1,9,5,8,15,4,7,15,6,5
J42,13,19,15,19,2,14,10,11,1,17
J43,9,12,17,12,3,14,1,8,7,16
J44,17,2,1,18,10,8,18,4,1,2
J45,5,14,18,7,12,12,3,11,17,16
J46,5,10,18,14,16,14,17,17,7,9
J47,4,14,16,18,6,11,3,7,8,6
J48,6,12,17,3,15,12,5,8,14,11
J49,16,12,15,17,14,4,5,6,18,19
J50,14,13,15,10,5,9,9,3,10,7
