,M1,M2,M3
J1,4,3,14
J2,3,10,17
J3,5,17,3
J4,14,15,18
J5,5,17,16
J6,10,8,9
J7,13,14,3
J8,9,8,4
J9,10,8,3
J10,19,1,11
J11,12,15,3
J12,11,11,13
J13,1,2,2
J14,14,4,3
J15,12,1,15
J16,6,10,14
J17,4,11,9
J18,5,1,18
J19,18,14,16
J20,11,2,8
J21,10,11,19
J22,14,7,2
J23,17,13,18
J24,5,12,3
J25,15,6,10
J26,4,14,7
J27,16,3,7
J28,11,7,3
J29,1,6,2
J30,8,4,9
J31,8,8,13
J32,2,5,8
J33,17,12,14
J34,9,15,7
J35,12,11,12
J36,2,11,5
J37,12,6,6
J38,1,15,16
J39,13,15,10
J40,1,14,5
J41,1,17,9
J42,1,12,18
J43,3,4,17
J44,3,19,11
J45,4,19,11
J46,11,13,5
J47,8,14,3
J48,3,7,3
J49,12,18,9
J50,8,11,17
J51,3,17,2
J52,8,3,15
J53,9,11,7
J54,9,3,7
J55,4,16,8
J56,6,13,11
J57,1,1,17
J58,17,1,8
J59,10,12,11
J60,7,12,5
J61,2,8,13
J62,5,17,6
J63,10,10,4
J64,12,3,19
J65,18,10,12
J66,17,1,6
J67,2,2,1
J68,17,16,15
J69,18,9,12
J70,18,19,3
J71,9,13,17
J72,6,8,7
J73,11,12,14
J74,6,7,5
J75,3,6,7
J76,4,8,18
J77,6,4,13
J78,2,6,16
J79,5,10,3
J80,15,10,19
J81,12,3,5
J82,19,19,12
J83,5,13,18
J84,9,17,10
J85,3,13,12
J86,13,8,4
J87,15,17,14
J88,18,16,5
J89,11,6,18
J90,13,16,2
J91,14,15,15
J92,9,18,6
J93,6,16,19
J94,17,11,4
J95,17,2,16
J96,5,16,3
J97,15,2,9
J98,2,10,17
J99,12,15,6
J100,10,8,14
