,M1,M2,M3,M4,M5
J1,2,17,3,15,7
J2,2,19,1,11,10
J3,12,13,15,19,10
J4,13,3,17,9,1
J5,10,10,10,12,2
J6,18,15,1,4,16
J7,15,18,19,8,17
J8,1,6,12,8,16
J9,5,18,6,1,10
J10,13,6,10,4,14
J11,18,14,5,1,19
J12,10,16,10,2,19
J13,8,16,7,2,18
J14,9,12,1,11,10
J15,2,9,4,6,12
J16,14,17,1,2,17
J17,4,10,11,8,2
J18,6,15,3,4,1
J19,6,9,17,11,18
J20,10,7,6,18,13
J21,3,12,18,19,12
J22,5,9,11,19,1
J23,8,4,17,7,19
J24,10,15,15,5,2
J25,2,19,4,8,1
J26,10,7,4,16,12
J27,18,14,11,9,11
J28,1,1,16,5,18
J29,12,6,18,11,6
J30,12,17,16,3,9
J31,5,16,16,17,11
J32,10,17,18,8,1
J33,11,12,2,4,19
J34,13,12,2,16,14
J35,7,12,11,19,14
J36,15,4,18,7,10
J37,18,18,8,8,4
J38,10,1,1,14,17
J39,7,7,1,16,19
J40,1,10,15,18,13
J41,1,11,3,1,3
J42,4,13,16,9,2
J43,3,17,3,15,18
J44,14,15,16,13,16
J45,13,17,8,9,4
J46,15,1,19,8,3
J47,5,17,5,3,7
J48,3,2,16,19,10
J49,17,12,4,15,9
J50,8,19,16,13,19
J51,7,8,7,16,4
J52,17,11,15,13,9
J53,2,11,4,11,13
J54,8,7,15,19,2
J55,9,1,5,1,9
J56,18,18,13,10,10
J57,5,19,18,12,12
J58,15,10,2,7,2
J59,15,6,17,15,4
J60,16,7,11,3,16
J61,9,11,11,8,5
J62,14,4,6,6,15
J63,2,8,6,8,5
J64,4,3,6,5,14
J65,15,8,3,10,10
J66,7,16,18,6,2
J67,5,14,13,16,11
J68,2,12,17,7,6
J69,12,11,15,4,14
J70,18,19,7,11,5
J71,17,14,6,19,12
J72,3,9,12,2,12
J73,13,12,7,18,17
J74,11,16,17,10,19
J75,14,17,8,5,17
J76,10,19,17,3,9
J77,14,4,11,14,18
J78,16,6,15,19,10
J79,14,4,1,12,10
J80,6,15,10,5,3
J81,10,4,16,11,17
J82,4,7,5,12,3
J83,11,15,15,18,11
J84,17,2,13,6,2
J85,9,15,9,18,10
J86,17,5,11,17,8
J87,11,16,19,7,13
J88,11,12,9,18,11
J89,4,19,9,7,9
J90,12,1,4,11,3
J91,15,19,14,3,1
J92,9,1,10,19,19
J93,2,1,18,9,3
J94,13,12,1,9,5
J95,18,13,7,14,5
J96,10,7,8,3,3
J97,19,11,6,19,12
J98,3,4,2,3,18
J99,12,4,9,4,4
J100,13,2,4,12,4
